parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,power_density_nW,experiment_time_s
kon,10,,1.4413020113466588,0.2204759065649387,15.157580383880413,0.95,4.34279417523416,12.034842341893158,0.030906878975006543,1436.4
kon,11,,1.5131481947884025,0.21715642806926985,15.053026332405599,0.95,4.321006368689008,10.018096447720664,0.030906878975006543,1638.0
kon,12,,0.17602725295979782,0.12688435029182327,0.23051160113307054,0.95,0.17792744276755615,0.1911057818988823,0.06682573169467801,1810.8
kon,13,,0.27035476085951493,0.20231337023170856,0.33876563172203716,0.95,0.2704528422057602,0.2733093695671651,0.06682573169467801,2012.4
kon,14,,0.251398565499517,0.17588162267574145,0.35165969432013555,0.95,0.3411880312217415,0.24830662224421818,0.1083782783324549,2203.2
kon,15,,0.2567563314387402,0.17150858364236415,1.5418372184530895,0.95,0.6949260269182239,0.25646677326592576,0.1083782783324549,2376.0
kon,16,,0.1932366665602992,0.1604344875555836,0.23172316004263196,0.95,0.19362846814461904,0.21770939359515484,0.17576838915843104,2563.2
kon,17,,0.09380187700547574,0.07820669635004893,0.11331266055978868,0.95,0.094686211904086,0.10477471897525803,0.17576838915843104,2743.2
kon,18,,0.3302695914527665,0.28133126260273605,0.3812182622579275,0.95,0.33139363978428454,0.35647217542622317,0.2850619801560182,3024.0
kon,19,,0.22027485668587304,0.18280422706049448,0.2645193204099589,0.95,0.22145910109243877,0.21465629481405185,0.2850619801560182,3315.6
kon,20,,0.4714863587306145,0.4133514399517021,0.5320333764689635,0.95,0.47208968860543826,0.4446561165790367,0.4623148275952227,3546.0
kon,21,,0.09319938976436243,0.0849996467528671,0.10138304405693006,0.95,0.09338699469262796,0.08894802597844505,0.4623148275952227,3736.8
kon,22,,0.379050504711373,0.31426302369135867,0.4511866728694295,0.95,0.3804099098140928,0.3837806497957609,0.7167760902209894,3906.0
kon,23,,0.46625726619802327,0.3925186660360063,0.5557755449694222,0.95,0.4684129948003043,0.497404713009643,0.7167760902209894,4140.0
kon,24,,0.5909131296664316,0.5246301681856874,0.6620657152265771,0.95,0.5915921775487021,0.6376813309562568,1.1960507914349403,4482.0
kon,25,,0.5552919609582085,0.504315799122289,0.6148111021972774,0.95,0.5563397338153947,0.5674808180760151,1.1960507914349403,4662.0
kon,26,,0.928753930952402,0.8372228973441701,1.0423623013025771,0.95,0.9329903376982944,0.9696700187399101,1.9397606623469608,4834.8
kon,27,,0.31269721835294595,0.2760124232877248,0.3650958458625842,0.95,0.31555062808197065,0.30209700746289425,1.9397606623469608,4982.4
kon,28,,0.8344256297758821,0.7510855306904238,0.9263852469270066,0.95,0.8370934582337555,0.9180965158042259,3.145912743951723,5126.4
kon,29,,0.8347209079206543,0.7265603478449949,0.9620801653612218,0.95,0.8366793800377879,0.876088731226798,3.145912743951723,5414.4
kon,30,,0.8497912713227183,0.7121972239155938,1.0092325494287873,0.95,0.8552518413070888,0.8003230587501431,3.146126245437886,5623.2
kon,31,,0.8412020174661148,0.7056177154346976,0.9859572033564231,0.95,0.8442387266248479,0.9181565955289386,3.146126245437886,5785.2
kon,32,,0.8842082594484665,0.42135123494891424,1.3123112638983256,0.95,0.890270626734864,0.5791182705237622,0.030906878975006543,5954.4
kon,33,,0.8378026669084355,4.451474719507149e-09,1.578299815441883,0.95,0.7373202841426435,6.283008232025438e-05,1.3859586984307867e-05,6426.0
kon,34,,2.9699502877664403,0.16445873206665543,16.850816922299792,0.95,5.249076500293451,4.93040221185453,1.3859586984307867e-05,6645.6
kon,35,,3.0183422315626065,0.004541485722501376,16.670326147356754,0.95,5.21111021260523,5.2577796910499845,1.3859586984307867e-05,7034.4
saturation,1,,1532.4575840269881,1517.1793224581756,1547.1509188612733,0.95,1532.2649951612293,1534.6680216197844,1.9397606623469608,0.0
saturation,2,,1364.5606154220131,1348.5331658445937,1380.967965188103,0.95,1364.3831505755552,1353.6334440116048,1.9397606623469608,198.0
saturation,3,,1064.1152943849552,1047.715213442214,1078.9741406905716,0.95,1064.1173387707893,1069.1498271007151,3.145912743951723,374.4
